,Release Date,Season,Episode,Episode Title,Name,Sentence,label
6505,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,"Your brother's turn will come. Then you can lick his blood off Hearteater, too.",['sadness']
6506,2012-05-27,Season 2,Episode 9,Blackwater,shae,Some of those boys will never come back.,['joy']
6507,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,Joffrey will. The worst ones always live.,['anger']
6508,2012-05-27,Season 2,Episode 9,Blackwater,shae,"Shh. Come, my lady.",['joy']
6509,2012-05-27,Season 2,Episode 9,Blackwater,lancel,Where's our fleet?,['anger']
6510,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,On the way.,['anger']
6511,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,Why isn't it here now? They're coming.,['anger']
6512,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,"Hound, tell the Hand that his king has asked him a question.",['anger']
6513,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,The king has asked you a question.,['anger']
6514,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"Ser Lancel, tell the Hound to tell the king that the Hand is extremely busy.",['love']
6515,2012-05-27,Season 2,Episode 9,Blackwater,lancel,The Hand of the King would like me to tell you to tell the king-,['joy']
6516,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,"If I tell the Hound to cut you in half, he'll do it without a second thought.",['surprise']
6517,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"That would make me the quarterman. It just doesn't have the same ring to it. Cut me in half and I won't be able to give the signal. No signal, no plan. No plan and Stannis Baratheon sacks this city, takes the Iron Throne, puts your pinched little head atop a gate somewhere. It might be quite amusing, except that my head would be up there, too. I've never much liked my head, but I don't want to see it removed just yet.",['joy']
6518,2012-05-27,Season 2,Episode 9,Blackwater,davos,Where are their ships?,['anger']
6519,2012-05-27,Season 2,Episode 9,Blackwater,matthos,It was wise to attack at night. We took them by surprise.,['joy']
6520,2012-05-27,Season 2,Episode 9,Blackwater,davos,Lord Varys knows what you had for breakfast three days ago. There are no surprises here.,['anger']
6521,2012-05-27,Season 2,Episode 9,Blackwater,matthos,"If it's true there is dissension in their ranks, maybe their sailors have mutinied.",['fear']
6522,2012-05-27,Season 2,Episode 9,Blackwater,davos,Maybe.,['joy']
6523,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,I don't know why she wants me here. She's always saying how stupid I am. She hates me.,['fear']
6524,2012-05-27,Season 2,Episode 9,Blackwater,shae,Maybe she hates you less than she hates everyone else.,['joy']
6525,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,I doubt it.,['joy']
6526,2012-05-27,Season 2,Episode 9,Blackwater,shae,Maybe she's jealous of you.,['joy']
6527,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,Why would she be jealous?,['joy']
6528,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Sansa.,['anger']
6529,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"I was wondering where our little dove had flown. You look pale, child. Is your red flower still blooming?",['love']
6530,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,Yes.,['anger']
6531,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Fitting, isn't it? The men will bleed out there and you will bleed in here. Pour Lady Sansa some wine.",['anger']
6532,2012-05-27,Season 2,Episode 9,Blackwater,shae,"I'm not thirsty, Your Grace.",['fear']
6533,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,So? I didn't offer you water.,['joy']
6534,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,What's he doing here?,['joy']
6535,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Ser llyn? He's here to defend us. When the axes smash down those doors, you may be glad to have him.",['love']
6536,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,But we have guards to defend us.,['joy']
6537,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Guards we have paid. Should the city fall, they'll be the first ones out of the doors.",['anger']
6538,2012-05-27,Season 2,Episode 9,Blackwater,gold cloak,The lads caught a groom and two maids trying to sneak away with a stolen horse and some gold cups.,['fear']
6539,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,The battle's first traitors. Have Ser llyn see to them. Put their heads on spikes outside the stables as a warning.,['joy']
6540,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,The only way to keep the small folk loyal is to make certain they fear you more than they do the enemy. Remember that if you ever hope to become a queen.,['sadness']
6541,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,You said he was here to protect us.,['joy']
6542,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,He is. Traitors are a danger to us all. More wine.,['anger']
6543,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,There they are.,['anger']
6544,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,Archers to their marks.,['anger']
6545,2012-05-27,Season 2,Episode 9,Blackwater,soldier,"Archers, to your marks!",['anger']
6546,2012-05-27,Season 2,Episode 9,Blackwater,soldier,Archers! Nock your arrows!,['anger']
6547,2012-05-27,Season 2,Episode 9,Blackwater,soldier,Nock arrows!,['anger']
6548,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,Hold fast.,['sadness']
6549,2012-05-27,Season 2,Episode 9,Blackwater,soldier,Hold fast!,['sadness']
6550,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,What are you doing? We need to attack them.,['anger']
6551,2012-05-27,Season 2,Episode 9,Blackwater,soldier,Boulders ready!,['anger']
6552,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,There's only one ship. Where are the rest of them? Where are the rest of them?,['joy']
6553,2012-05-27,Season 2,Episode 9,Blackwater,matthos,There's only one ship.,['joy']
6554,2012-05-27,Season 2,Episode 9,Blackwater,davos,"Archers, stand to! Man the below! Nock.",['anger']
6555,2012-05-27,Season 2,Episode 9,Blackwater,man,Nock and set!,['anger']
6556,2012-05-27,Season 2,Episode 9,Blackwater,davos,Draw! Hold.,['sadness']
6557,2012-05-27,Season 2,Episode 9,Blackwater,man,Hold.,['sadness']
6558,2012-05-27,Season 2,Episode 9,Blackwater,davos,There's no one on board.,['joy']
6559,2012-05-27,Season 2,Episode 9,Blackwater,man,More rocks coming up!,['anger']
6560,2012-05-27,Season 2,Episode 9,Blackwater,davos,Wildfire. Steer clear! Steer clear!,['joy']
6561,2012-05-27,Season 2,Episode 9,Blackwater,davos,Matthos! Get down!,['anger']
6562,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,Prepare to land.,['sadness']
6563,2012-05-27,Season 2,Episode 9,Blackwater,soldier,Your Grace.,['fear']
6564,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,The dwarf has played his little trick.,['joy']
6565,2012-05-27,Season 2,Episode 9,Blackwater,soldier,The wildfire.,['anger']
6566,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,He can only play it once.,['joy']
6567,2012-05-27,Season 2,Episode 9,Blackwater,soldier,"We're too far from the gates. The fire, their archers- Hundreds will die.",['sadness']
6568,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,Thousands.,['anger']
6569,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,Come with me and take this city!,['fear']
6570,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Sansa, come here, little dove.",['anger']
6571,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,My queen.,['anger']
6572,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,What are you doing?,['anger']
6573,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,Praying.,['joy']
6574,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"You're perfect, aren't you? Praying. What are you praying for?",['surprise']
6575,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,For the gods to have mercy on us all.,['joy']
6576,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Oh. On all of us?,['joy']
6577,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,"Yes, Your Grace.",['fear']
6578,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Even me?,['anger']
6579,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,"Of course, Your Grace.",['fear']
6580,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Even Joffrey?,['anger']
6581,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,Joffrey is my-,['anger']
6582,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Oh, shut up, you little fool. Praying to the gods to have mercy on us all. The gods have no mercy. That's why they're gods. My father told me that when he caught me praying. My mother had just died, you see. I didn't really understand the concept of death, the finality of it. I thought that if I prayed very, very hard, the gods would return my mother to me. I was four.",['anger']
6583,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,Your father doesn't believe in the gods?,['sadness']
6584,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"He believes in them, he just doesn't like them very much.",['anger']
6585,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,One for her.,['anger']
6586,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Here. Sit. Drink.,['sadness']
6587,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Not like that. Drink, girl.",['sadness']
6588,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,I should have been born a man. I'd rather face a thousand swords than be shut up inside with this flock of frightened hens.,['anger']
6589,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,They are your guests under your protection. You asked them here.,['anger']
6590,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"It was expected of me, as it will be of you if you ever become Joffrey's queen. If my wretched brother should somehow prevail, these hens will return to their cocks and crow of how my courage inspired them, lifted their spirits.",['joy']
6591,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,And if the city should fall?,['anger']
6592,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"You'd like that, wouldn't you? The Red Keep should hold for a time, long enough for me to go to the walls and yield to Lord Stannis in person. If it were anyone else outside those gates, I might have hoped for a private audience, but this is Stannis Baratheon. I'd have a better chance of seducing his horse.",['sadness']
6593,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Have I shocked you, little dove? Tears aren't a woman's only weapon. The best one's between your legs. Learn how to use it. Drink.",['fear']
6594,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Do you have any notion of what happens when a city is sacked? No, you wouldn't, would you? If the city falls, these fine women should be in for a bit of a rape. Half of them will have bastards in their bellies come the morning. You'll be glad of your red flower then. When a man's blood is up, anything with tits looks good. A precious thing like you will look very, very good. A slice of cake just waiting to be eaten.",['surprise']
6595,2012-05-27,Season 2,Episode 9,Blackwater,man,"More pressure! Pull! Pull! That's it, men! Pull! Pull!",['sadness']
6596,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"He's a serious man, Stannis Baratheon.",['anger']
6597,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,They're coming. They're coming ashore.,['anger']
6598,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,Rain fire on them.,['joy']
6599,2012-05-27,Season 2,Episode 9,Blackwater,man,Archers!,['anger']
6600,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,There are too many.,['anger']
6601,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"Hound, form a welcome party for any Baratheon troop that manages to touch solid ground. Pod, run to the King's Gate. Bring any men guarding it here, now.",['sadness']
6602,2012-05-27,Season 2,Episode 9,Blackwater,podrick,"Yes, my lord.",['anger']
6603,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,"Let's go. Stannis is sending us fresh meat. You, too.",['joy']
6604,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,"Any of these flaming fucking arrows come near me, I'll strangle you with your own guts.",['joy']
6605,2012-05-27,Season 2,Episode 9,Blackwater,men,"Pull, pull! Go!",['anger']
6606,2012-05-27,Season 2,Episode 9,Blackwater,soldier,Nock! Draw!,['anger']
6607,2012-05-27,Season 2,Episode 9,Blackwater,men,Draw! Draw!,['anger']
6608,2012-05-27,Season 2,Episode 9,Blackwater,men,Kill the Lannisters!,['anger']
6609,2012-05-27,Season 2,Episode 9,Blackwater,men,Loose! Loose!,['joy']
6610,2012-05-27,Season 2,Episode 9,Blackwater,man,Form the line!,['joy']
6611,2012-05-27,Season 2,Episode 9,Blackwater,men,Draw! Draw! Loose! Loose!,['fear']
6612,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,"To the Mud Gate, go now!",['fear']
6613,2012-05-27,Season 2,Episode 9,Blackwater,men,"First and second squads, to the gate! To the Mud Gate!",['love']
6614,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,"Any man dies with a clean sword, I'll rape his fucking corpse.",['fear']
6615,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"When we were young, Jaime and I, we looked so much alike even our father couldn't tell us apart. I could never understand why they treated us differently. Jaime was taught to fight with sword and lance and mace, and I was taught to smile and sing and please. He was heir to Casterly Rock, and I was sold to some stranger like a horse to be ridden whenever he desired.",['sadness']
6616,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,You were Robert's queen.,['joy']
6617,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,And you will be Joffrey's. Enjoy. I don't think I know this one.,['joy']
6618,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Pretty.,['joy']
6619,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"That's the worst curtsy I've ever seen. Here, it's not difficult. I mastered it when I was four. Straighten your back and bend.",['joy']
6620,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Better. You learn fast. How long have you been in Lady Sansa's service?,['fear']
6621,2012-05-27,Season 2,Episode 9,Blackwater,shae,"A few weeks, Your Grace.",['fear']
6622,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,When did you leave Lorath?,['joy']
6623,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,I had a Lorathi handmaiden once.,['anger']
6624,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,But she was a nobleman's daughter. You're not. When did you come to Westeros?,['surprise']
6625,2012-05-27,Season 2,Episode 9,Blackwater,shae,"Ten years ago, Your Grace.",['anger']
6626,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"From Lorathi commoner to the Red Keep in ten years, all without learning how to curtsy. I imagine that's a very interesting story. What's your name?",['joy']
6627,2012-05-27,Season 2,Episode 9,Blackwater,shae,"Shae, Your Grace.",['fear']
6628,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Tell us a story, Shae.",['joy']
6629,2012-05-27,Season 2,Episode 9,Blackwater,shae,"When I was thireen, I-",['anger']
6630,2012-05-27,Season 2,Episode 9,Blackwater,lancel,Your Grace!,['fear']
6631,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,What news?,['anger']
6632,2012-05-27,Season 2,Episode 9,Blackwater,lancel,"The Imp has set the river afire. Hundreds of ships are burning, maybe more. Stannis' fleet destroyed, but But But his troops have landed outside the city walls.",['anger']
6633,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Where is Joffrey?,['anger']
6634,2012-05-27,Season 2,Episode 9,Blackwater,lancel,On the battlements with Lord Tyrion.,['anger']
6635,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Bring him back inside at once.,['anger']
6636,2012-05-27,Season 2,Episode 9,Blackwater,lancel,Your Grace-,['fear']
6637,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,What?,['anger']
6638,2012-05-27,Season 2,Episode 9,Blackwater,lancel,The king's presence is good for morale.,['anger']
6639,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Bring him back to his chambers now.,['joy']
6640,2012-05-27,Season 2,Episode 9,Blackwater,lancel,Not here?,['anger']
6641,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,With the women and children? Do you want him to be mocked as a coward for the rest of his life?,['love']
6642,2012-05-27,Season 2,Episode 9,Blackwater,lancel,"No, but I-",['anger']
6643,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Now!,['anger']
6644,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"When I told you about Ser llyn earlier, I lied. Do you want to hear the truth? You want to know why he's really here? He's here for us. Stannis may take the city, he may take the throne, but he will not take us alive.",['joy']
6645,2012-05-27,Season 2,Episode 9,Blackwater,man,Help me!,['joy']
6646,2012-05-27,Season 2,Episode 9,Blackwater,man,Fall back! Fall back!,['anger']
6647,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,Get the ladders up!,['anger']
6648,2012-05-27,Season 2,Episode 9,Blackwater,man,"Faster, you bastards! Faster! Come on, kill the scum!",['love']
6649,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,Someone bring me a drink.,['sadness']
6650,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,Fuck the water. Bring me wine.,['anger']
6651,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"Can I get you some iced milk and a nice bowl of raspberries, too?",['anger']
6652,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,"Eat shit, dwarf.",['love']
6653,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,You're on the wrong side of the wall.,['surprise']
6654,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,I lost half my men. The Blackwater's on fire.,['surprise']
6655,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,"Dog, I command you to go back out there and fight!",['joy']
6656,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"You're Kingsguard, Clegane. You must beat them back or they're going to take this city. Your king's city.",['surprise']
6657,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,Fuck the Kingsguard. Fuck the city. Fuck the king.,['joy']
6658,2012-05-27,Season 2,Episode 9,Blackwater,man,Loose!,['joy']
6659,2012-05-27,Season 2,Episode 9,Blackwater,man,Put your backs into it!,['fear']
6660,2012-05-27,Season 2,Episode 9,Blackwater,man,"All right, get up!",['anger']
6661,2012-05-27,Season 2,Episode 9,Blackwater,man,Clear!,['joy']
6662,2012-05-27,Season 2,Episode 9,Blackwater,man,Forward!,['joy']
6663,2012-05-27,Season 2,Episode 9,Blackwater,man,Forward ladders!,['joy']
6664,2012-05-27,Season 2,Episode 9,Blackwater,men,Heave! Heave!,['anger']
6665,2012-05-27,Season 2,Episode 9,Blackwater,lancel,"Your Grace, the queen has sent me to bring you back to the Red Keep.",['anger']
6666,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"If you won't defend your own city, why should they?",['joy']
6667,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,What would you have me do?,['anger']
6668,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,Lead. Get down there and lead your people against the invaders who want to kill them.,['joy']
6669,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,What did my mother say exactly? Did she have urgent business with me?,['sadness']
6670,2012-05-27,Season 2,Episode 9,Blackwater,lancel,"She did not say, Your Grace.",['fear']
6671,2012-05-27,Season 2,Episode 9,Blackwater,man,All men to the battlements!,['sadness']
6672,2012-05-27,Season 2,Episode 9,Blackwater,joffrey lannister,"Ser Boros, Ser Mandon, stay with my uncle and represent the king on the field of battle.",['joy']
6673,2012-05-27,Season 2,Episode 9,Blackwater,man,"Archers, hold your line or I'll kill you myself.",['joy']
6674,2012-05-27,Season 2,Episode 9,Blackwater,man,Stand fast!,['joy']
6675,2012-05-27,Season 2,Episode 9,Blackwater,man,"No! Get up, you fool.",['anger']
6676,2012-05-27,Season 2,Episode 9,Blackwater,man,We need more arrows!,['joy']
6677,2012-05-27,Season 2,Episode 9,Blackwater,man,Where is the king? Why isn't he with us?,['anger']
6678,2012-05-27,Season 2,Episode 9,Blackwater,man,Who are we fighting for?,['joy']
6679,2012-05-27,Season 2,Episode 9,Blackwater,man,Who leads us?,['anger']
6680,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,I'll lead the attack. I'll lead the attack!,['joy']
6681,2012-05-27,Season 2,Episode 9,Blackwater,man,Yes.,['anger']
6682,2012-05-27,Season 2,Episode 9,Blackwater,man,What are you talking about?,['joy']
6683,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"Pod, my helmet. Ser Mandon, you will bear the king's banner. Men, form up. Men Men! They say I'm half a man. But what does that make the lot of you?",['sadness']
6684,2012-05-27,Season 2,Episode 9,Blackwater,man,The only way out is through the gates. And they're at the gates.,['joy']
6685,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,There's another way out. I'm going to show you. We'll come out behind them and fuck them in their arses.,['joy']
6686,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"Don't fight for your king and don't fight for his kingdoms. Don't fight for honor. Don't fight for glory. Don't fight for riches, because you won't get any. This is your city Stannis means to sack. That's your gate he's ramming. If he gets in, it will be your houses he burns, your gold he steals, your women he will rape.",['surprise']
6687,2012-05-27,Season 2,Episode 9,Blackwater,men,Heave! Heave! Heave!,['anger']
6688,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,Those are brave men knocking at our door. Let's go kill them.,['sadness']
6689,2012-05-27,Season 2,Episode 9,Blackwater,lancel,"The battle is lost, Your Grace. Stannis' troops are at the gates. When the gold cloaks saw the king leaving, they lost all heart.",['fear']
6690,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Where is my son?,['sadness']
6691,2012-05-27,Season 2,Episode 9,Blackwater,lancel,I want to escort him back to the battle.,['joy']
6692,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Why do I care what you want? Bring me-,['joy']
6693,2012-05-27,Season 2,Episode 9,Blackwater,lancel,Now listen to me-,['joy']
6694,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,"Don't be afraid. The queen has raised the drawbridge. This is the safest place we can be. Joffrey's not hurt. He's fighting bravely. His knights have rallied behind him. They will save the city. Shall we sing a hymn? Gentle mother, fount of mercy...",['sadness']
6695,2012-05-27,Season 2,Episode 9,Blackwater,all,"Save our sons from war, we pray.",['anger']
6696,2012-05-27,Season 2,Episode 9,Blackwater,shae,You must go. Run to your chamber and bar your door. Stannis won't hurt you. This one will.,['joy']
6697,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,Come with me.,['anger']
6698,2012-05-27,Season 2,Episode 9,Blackwater,shae,I need to say goodbye to someone.,['joy']
6699,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,The queen said they'd rape everyone.,['fear']
6700,2012-05-27,Season 2,Episode 9,Blackwater,shae,No one is raping me.,['anger']
6701,2012-05-27,Season 2,Episode 9,Blackwater,shae,Go. Run.,['anger']
6702,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,The lady is starting to panic.,['joy']
6703,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,What are you doing here?,['anger']
6704,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,Not here for long. I'm going.,['joy']
6705,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,Where?,['anger']
6706,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,"Someplace that isn't burning. North, might be. Could be.",['anger']
6707,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,What about the king?,['joy']
6708,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,He can die just fine on his own.,['sadness']
6709,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,I can take you with me. Take you to Winterfell.,['joy']
6710,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,I'll keep you safe. Do you want to go home?,['anger']
6711,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,I'll be safe here. Stannis won't hurt me.,['joy']
6712,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,Look at me. Stannis is a killer. The Lannisters are killers. Your father was a killer. Your brother is a killer. Your sons will be killers someday. The world is built by killers. So you'd better get used to looking at them.,['sadness']
6713,2012-05-27,Season 2,Episode 9,Blackwater,sansa stark,You won't hurt me.,['joy']
6714,2012-05-27,Season 2,Episode 9,Blackwater,sandor clegane,"No, little bird, I won't hurt you.",['joy']
6715,2012-05-27,Season 2,Episode 9,Blackwater,men,Heave!,['anger']
6716,2012-05-27,Season 2,Episode 9,Blackwater,man,"Come on, you bastards! Get up those ladders!",['anger']
6717,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,Attack!,['anger']
6718,2012-05-27,Season 2,Episode 9,Blackwater,men,Roll it over!,['anger']
6719,2012-05-27,Season 2,Episode 9,Blackwater,all,Halfman! Halfman! Halfman!,['anger']
6720,2012-05-27,Season 2,Episode 9,Blackwater,tyrion lannister,"Oh, fuck me.",['joy']
6721,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Shh! Be calm, my sweet.",['fear']
6722,2012-05-27,Season 2,Episode 9,Blackwater,tommen lannister,They're still fighting.,['joy']
6723,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,No one's going to hurt you. I'll tell you a story. You know the one about the mother lion and her little cub? They lived in the woods.,['anger']
6724,2012-05-27,Season 2,Episode 9,Blackwater,tommen lannister,The Kingswood?,['anger']
6725,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Yes, my love. In the Kingswood, there lived a mother and her cub. She loved him very much. But there were other things that lived in the woods. Evil things.",['anger']
6726,2012-05-27,Season 2,Episode 9,Blackwater,tommen lannister,Like what?,['anger']
6727,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Like stags.,['anger']
6728,2012-05-27,Season 2,Episode 9,Blackwater,tommen lannister,Stags aren't evil. They only eat grass.,['love']
6729,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,And wolves.,['anger']
6730,2012-05-27,Season 2,Episode 9,Blackwater,podrick,My lord.,['anger']
6731,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"He could hear them howling in the night. The little cub was frightened. His mother said, ""You are a lion, my son. You mustn't be afraid.""",['sadness']
6732,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"For one day, all the beasts will bow to you. You will be king. All the stags will bow. All the wolves will bow. The bears in the north and the foxes of the south, all the birds in the sky and the beasts in the sea, they will all come to you, little lion, to rest a crown upon your head.",['anger']
6733,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"And the cub said, ""Will I be strong and fierce like my father?""",['sadness']
6734,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"Yes,"" said his mother. ""You will be strong and fierce just like your father.",['sadness']
6735,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,"I will keep you safe, my love. I promise you.",['anger']
6736,2012-05-27,Season 2,Episode 9,Blackwater,man,Back to the boats!,['anger']
6737,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,"Stand and fight! Stand and fight, damn you!",['fear']
6738,2012-05-27,Season 2,Episode 9,Blackwater,stannis baratheon,No!,['anger']
6739,2012-05-27,Season 2,Episode 9,Blackwater,cersei lannister,Father.,['sadness']
6740,2012-05-27,Season 2,Episode 9,Blackwater,tywin lannister,The battle is over. We have won.,['joy']
6741,2012-05-27,Season 2,Episode 9,Blackwater,male singer,"And who are you,"" the proud lord said / ""That I must bow so low?"" / ""Only a cat of a different coat / That's all the truth I know / In a coat of gold or a coat of red / A lion still has claws / And mine are long and sharp, my lord / As long and sharp as yours"" / And so he spoke, and so he spoke / That Lord of Castamere / But now the rains weep o'er his hall / With no one there to hear / Yes, now the rains weep o'er his hall / And not a soul to hear",['anger']
6742,2012-06-03,Season 2,Episode 10,Valar Morghulis,tyrion lannister,Pod.,['anger']
6743,2012-06-03,Season 2,Episode 10,Valar Morghulis,tyrion lannister,Pod! Find Bronn or Varys. Tell them I am here with Maester Pycelle. Tell them I am very much alive.,['anger']
